piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	path	extension	annotator	reviewer	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus
c14n01_gravement	1: 4/4	1: 0	15	15	60	15	15	60		111.5	283	191	0	0	83	d	2.1.0	Johannes Menke		1724	1724	François Couperin	Concert no. 14								2019-08-01	3.02	Linux			Gravement	c14n01		Francois Couperin	3.6.2	1.2.7	MS3	MS3/c14n01_gravement.mscx	False	38-82 (D2-Bb5)	MS3/c14n01_gravement.mscx	.mscx	Johannes Menke			Piano	62-82 (D4-Bb5)	Piano	38-62 (D2-D4)		
c14n02_allemande	1: 4/4	1: 0	27	24	96.5	51	47	188	(((26,), (27,)),)	172.75	363	242	0	0	94	d	2.1.0	Johannes Menke		1724	1724	François Couperin	Concert no. 14								2019-08-01	3.02	Linux			Allemande	c14n02		Francois Couperin	3.6.2	1.2.7	MS3	MS3/c14n02_allemande.mscx	False	38-82 (D2-Bb5)	MS3/c14n02_allemande.mscx	.mscx	Johannes Menke			Piano	57-82 (A3-Bb5)	Piano	38-65 (D2-F4)		
c14n03_sarabande	1: 3/4	1: 0	28	28	84	56	56	168		159.75	196	124	0	0	55	d	2.1.0	Johannes Menke		1724	1724	François Couperin	Concert no. 14								2019-08-01	3.02	Linux			Sarabande	c14n03		Francois Couperin	3.6.2	1.2.7	MS3	MS3/c14n03_sarabande.mscx	False	41-82 (F2-Bb5)	MS3/c14n03_sarabande.mscx	.mscx	Johannes Menke			Piano	57-82 (A3-Bb5)	Piano	41-64 (F2-E4)		
c14n04_fuguete	1: 6/8	1: 0	56	56	168	56	56	168		317.25	803	543	0	0	215	d	2.1.0	Johannes Menke		1724	1724	François Couperin	Concert no. 14								2019-08-01	3.02	Linux			Fuguéte	c14n04		Francois Couperin	3.6.2	1.2.7	MS3	MS3/c14n04_fuguete.mscx	False	38-84 (D2-C6)	MS3/c14n04_fuguete.mscx	.mscx	Johannes Menke			Piano	57-84 (A3-C6)	Piano	38-69 (D2-A4)		
parnasse_01	1: 4/4	1: 2	18	18	70	18	18	70		196	339	195	0	0	81	b	2.1.0	Johannes Menke		1724	1724	François Couperin	Le Parnasse								2019-08-01	3.02	Linux			Corelli au piéd du Parnasse prie les Muses de le Recevoir parmi elles.	parnasse_01		Francois Couperin	3.6.2	1.2.7	MS3	MS3/parnasse_01.mscx	False	38-88 (D2-E6)	MS3/parnasse_01.mscx	.mscx	Johannes Menke			Piano	61-88 (C#4-E6)	Piano	58-83 (A#3-B5)	Piano	38-67 (D2-G4)
parnasse_02	1: 6/8	1: 2	62	62	184.5	62	62	184.5		497	1156	613	0	0	243	b	2.1.0	Johannes Menke		1724	1724	François Couperin	Le Parnasse								2019-08-01	3.02	Linux			Corelli Charmé de la bonne réception qu'on lui fait au Parnasse en marque Sajoye	parnasse_02		Francois Couperin	3.6.2	1.2.7	MS3	MS3/parnasse_02.mscx	False	38-86 (D2-D6)	MS3/parnasse_02.mscx	.mscx	Johannes Menke			Piano	57-86 (A3-D6)	Piano	59-85 (B3-C#6)	Piano	38-66 (D2-F#4)
parnasse_03	1: 4/4	1: 2	59	58	235	59	58	235		655	627	452	0	0	105	D	2.1.0	Johannes Menke		1724	1724	François Couperin	Le Parnasse								2019-08-01	3.02	Linux			Corelli buvant á la Source D'hypocrene Sa troupe Continue	parnasse_03		Francois Couperin	3.6.2	1.2.7	MS3	MS3/parnasse_03.mscx	False	38-86 (D2-D6)	MS3/parnasse_03.mscx	.mscx	Johannes Menke			Piano	61-86 (C#4-D6)	Piano	57-84 (A3-C6)	Piano	38-67 (D2-G4)
parnasse_04	1: 3/8	1: 2	57	57	84.5	57	57	84.5		196.62	602	349	0	0	98	D	2.1.0	Johannes Menke		1724	1724	François Couperin	Le Parnasse								2019-08-01	3.02	Linux			Entouziafme de Corelli Causé par les eaux D'hypocréne	parnasse_04		Francois Couperin	3.6.2	1.2.7	MS3	MS3/parnasse_04.mscx	False	40-83 (E2-B5)	MS3/parnasse_04.mscx	.mscx	Johannes Menke			Piano	62-83 (D4-B5)	Piano	57-83 (A3-B5)	Piano	40-69 (E2-A4)
parnasse_05	1: 4/4	1: 2	27	26	107.5	27	26	107.5		276	405	216	0	0	102	D	2.3.0	Johannes Menke (2.1.1), Hanné Becker (2.3.0)		1724	1724	François Couperin	Le Parnasse								2019-08-01	3.02	Linux			"Corelli aprés son Entouziasme S'endort;
et sa Troupe joue le Sommeil suivat tres doux"	parnasse_05		Francois Couperin	3.6.2	1.2.7	MS3	MS3/parnasse_05.mscx	False	36-83 (C2-B5)	MS3/parnasse_05.mscx	.mscx	Johannes Menke			Piano	59-83 (B3-B5)	Piano	55-83 (G3-B5)	Piano	36-66 (C2-F#4)
parnasse_06	1: 3/8	1: 2	32	32	48	32	32	48		121.63	439	223	0	0	56	D	2.1.0	Johannes Menke		1724	1724	François Couperin	Le Parnasse								2019-08-01	3.02	Linux			Les Muses reveillent Corelli et le placent auprés D'Apollon	parnasse_06		Francois Couperin	3.6.2	1.2.7	MS3	MS3/parnasse_06.mscx	False	38-83 (D2-B5)	MS3/parnasse_06.mscx	.mscx	Johannes Menke			Piano	65-83 (E#4-B5)	Piano	64-83 (E4-B5)	Piano	38-66 (D2-F#4)
parnasse_07	1: 4/4	1: 2	53	53	212	53	53	212		514	1257	686	0	0	224	b	2.1.0	Johannes Menke		1724	1724	François Couperin	Le Parnasse								2019-08-01	3.02	Linux			Remerciment de Corelli	parnasse_07		Francois Couperin	3.6.2	1.2.7	MS3	MS3/parnasse_07.mscx	False	38-86 (D2-D6)	MS3/parnasse_07.mscx	.mscx	Johannes Menke			Piano	61-84 (C#4-C6)	Piano	59-86 (B3-D6)	Piano	38-69 (D2-A4)
